Date/Time,roomTemp (deg C),defroStat,compStat,evapStat
25-04-2024 13:37,10.4,OFF,OFF,OFF
25-04-2024 14:06,-13.5,OFF,ON,ON
25-04-2024 14:35,-16.3,OFF,ON,ON
25-04-2024 15:04,-17.5,OFF,ON,ON
25-04-2024 15:33,-18.5,OFF,ON,ON
25-04-2024 16:02,-19,OFF,ON,ON
25-04-2024 16:31,-1,ON,OFF,OFF
25-04-2024 16:37,10.1,OFF,OFF,OFF
25-04-2024 17:06,-16.2,OFF,ON,ON
25-04-2024 17:35,-18.3,OFF,ON,ON
26-04-2024 09:29,6.3,OFF,OFF,OFF
26-04-2024 09:58,-3.4,OFF,ON,ON
26-04-2024 10:27,-6.3,OFF,ON,ON
26-04-2024 10:37,-7,OFF,ON,ON
26-04-2024 11:06,-8.7,OFF,ON,ON
26-04-2024 11:35,-10,OFF,ON,ON
26-04-2024 12:04,-11.4,OFF,ON,ON
26-04-2024 12:33,-9.4,ON,OFF,OFF
26-04-2024 13:02,-6,OFF,ON,ON
26-04-2024 13:31,-11.9,OFF,ON,ON
26-04-2024 14:00,-13.9,OFF,ON,ON
26-04-2024 14:29,-15.1,OFF,ON,ON
26-04-2024 14:58,-15.6,OFF,ON,ON
26-04-2024 15:21,-16.1,OFF,ON,ON
26-04-2024 15:29,-16.3,ON,OFF,OFF
26-04-2024 15:58,4.3,OFF,ON,OFF
26-04-2024 16:27,-14,OFF,ON,ON
26-04-2024 16:56,-15.5,OFF,ON,ON
26-04-2024 17:25,-16.6,OFF,ON,ON
26-04-2024 17:54,-17,OFF,ON,ON
26-04-2024 18:23,-17,OFF,ON,ON
26-04-2024 18:29,-17.3,ON,OFF,OFF
26-04-2024 18:49,12.8,OFF,OFF,OFF
26-04-2024 18:59,2.1,OFF,ON,ON
26-04-2024 19:28,-15.1,OFF,ON,ON
26-04-2024 19:57,-17,OFF,ON,ON
26-04-2024 20:26,-17.8,OFF,ON,ON
26-04-2024 20:55,-16.7,OFF,ON,ON
26-04-2024 21:24,-17.7,OFF,ON,ON
26-04-2024 21:28,-17.9,ON,OFF,OFF
26-04-2024 21:48,10.7,OFF,OFF,OFF
26-04-2024 22:17,-14.3,OFF,ON,ON
26-04-2024 22:46,-16.9,OFF,ON,ON
26-04-2024 23:15,-18.2,OFF,ON,ON
26-04-2024 23:44,-19,OFF,ON,ON
27-04-2024 00:13,-19.5,OFF,ON,ON
27-04-2024 00:28,-19.5,ON,OFF,OFF
27-04-2024 00:57,5.3,OFF,ON,OFF
27-04-2024 00:58,0.9,OFF,ON,ON
27-04-2024 01:27,-16.5,OFF,ON,ON
27-04-2024 01:56,-18.2,OFF,ON,ON
27-04-2024 02:25,-19.2,OFF,ON,ON
27-04-2024 02:54,-19.7,OFF,ON,ON
27-04-2024 03:23,-19.9,OFF,ON,ON
27-04-2024 03:48,12.8,OFF,OFF,OFF
27-04-2024 04:03,-12.3,OFF,ON,ON
27-04-2024 04:32,-10.8,OFF,ON,ON
27-04-2024 05:01,-13.1,OFF,ON,ON
27-04-2024 05:30,-9.9,OFF,ON,ON
27-04-2024 05:59,-11.2,OFF,ON,ON
27-04-2024 06:28,-12.8,OFF,ON,ON
27-04-2024 06:48,13.6,OFF,OFF,OFF
27-04-2024 07:17,-6.1,OFF,ON,ON
27-04-2024 07:46,-8.4,OFF,ON,ON
27-04-2024 08:15,-10,OFF,ON,ON
27-04-2024 08:44,-11.3,OFF,ON,ON
27-04-2024 09:13,-12.8,OFF,ON,ON
27-04-2024 09:28,-13.5,ON,OFF,OFF
27-04-2024 09:48,10.4,OFF,OFF,OFF
27-04-2024 10:17,-9,OFF,ON,ON
27-04-2024 10:46,-12.1,OFF,ON,ON
27-04-2024 11:15,-14,OFF,ON,ON
27-04-2024 11:44,-15.1,OFF,ON,ON
